Palabra	(Archivo, Cantidad)
19th	(3,7)(1,1)
saw	(3,3)(4,2)(1,1)
significant	(3,4)
economic	(3,17)
territorial	(3,2)
growth	(3,13)(1,2)
ending	(3,1)
resistance	(3,3)
1880s	(3,1)
gaining	(3,1)(1,1)
current	(3,5)(1,4)
war	(3,10)(1,5)(5,3)
1879???83	(3,3)
defeating	(3,4)
20th	(3,5)(1,1)
up	(3,4)(4,3)(1,6)
1970s	(3,2)(1,1)
process	(3,1)(4,1)
democratization	(3,1)
rapid	(3,1)
urbanization	(3,1)
increasing	(3,2)
reliance	(3,1)
on	(3,50)(4,30)(1,32)(5,3)
exports	(3,3)
copper	(3,14)
mining	(3,6)
for	(3,63)(4,17)(1,47)(5,1)
economy	(3,11)
during	(3,13)(4,3)(1,13)(5,1)
1960s	(3,1)(1,1)
experienced	(3,2)
severe	(3,1)
left-right	(3,1)
political	(3,14)
polarization	(3,1)
turmoil	(3,1)
this	(3,24)(4,6)(1,17)
development	(3,8)(1,2)
culminated	(3,1)
1973	(3,7)
coup	(3,6)
d??tat	(3,1)
overthrew	(3,2)
salvador	(3,2)(1,1)
allendes	(3,6)
democratically	(3,3)
elected	(3,9)
left-wing	(3,3)
government	(3,29)(1,1)(5,1)
instituted	(3,1)
16-year	(3,1)
right-wing	(3,1)
military	(3,10)
dictatorship	(3,4)
augusto	(3,3)
pinochet	(3,7)
left	(3,1)(1,3)
more	(3,14)(4,5)(1,19)
than	(3,13)(4,1)(1,13)
3000	(3,2)
people	(3,15)(1,6)(5,4)
dead	(3,1)
or	(3,35)(4,10)(1,54)(5,1)
missing	(3,1)
regime	(3,2)
ended	(3,2)
1990	(3,5)(1,1)
referendum	(3,3)
1988	(3,6)
succeeded	(3,4)(4,1)
by	(3,114)(4,39)(1,65)(5,3)
center-left	(3,2)
coalition	(3,13)
which	(3,43)(4,12)(1,35)(5,2)
ruled	(3,2)
until	(3,7)(4,5)(1,4)(5,2)
2010	(3,8)(4,1)
developing	(3,1)(4,1)
high-income	(3,3)
ranks	(3,3)
42nd	(3,1)
human	(3,8)(4,3)
index	(3,3)
among	(3,13)(1,1)
most	(3,29)(4,7)(1,31)(5,1)
economically	(3,1)
socially	(3,1)(1,1)
nations	(3,6)(1,8)
leading	(3,4)
latin	(3,17)(1,1)
rankings	(3,2)
competitiveness	(3,2)
per	(3,7)(1,3)
capita	(3,5)
income	(3,3)
globalization	(3,2)
state	(3,8)(1,2)(5,2)
peace	(3,1)
freedom	(3,5)
high	(3,8)(1,1)
regionally	(3,1)
sustainability	(3,1)
democratic	(3,6)
lowest	(3,1)
homicide	(3,1)
rate	(3,5)
americas	(3,6)
canada	(3,2)(4,1)(1,1)
founding	(3,3)
member	(3,6)(1,2)
united	(3,11)(4,5)(1,6)(5,2)
community	(3,3)
american	(3,21)(4,3)(1,3)(5,3)
caribbean	(3,1)(1,2)
states	(3,11)(4,2)(1,6)(5,1)
celac	(3,1)
alliance	(3,5)
joined	(3,4)(5,3)
oecd	(3,2)
etymology	(3,1)
there	(3,15)(4,1)(1,12)
various	(3,7)(4,2)(1,3)
theories	(3,2)
origin	(3,9)(1,1)
word	(3,3)(1,1)
according	(3,10)(4,1)(1,3)
17th-century	(3,1)
chronicler	(3,1)
diego	(3,5)
de	(3,26)(1,2)
rosales	(3,1)
incas	(3,3)
called	(3,10)(4,1)(1,4)(5,1)
valley	(3,11)
aconcagua	(3,4)
chili	(3,2)
corruption	(3,3)
name	(3,6)(4,1)(1,2)(5,4)
picunche	(3,1)
tribal	(3,2)
chief	(3,1)(5,2)
cacique	(3,1)
tili	(3,1)
at	(3,45)(4,1)(1,44)(5,4)
time	(3,7)(4,2)(1,31)
incan	(3,1)
conquest	(3,5)
15th	(3,1)
another	(3,11)(1,3)(5,1)
theory	(3,1)
points	(3,1)(1,5)
similarity	(3,2)
casma	(3,1)
where	(3,6)(4,1)(1,11)(5,3)
named	(3,3)(1,2)
chiliother	(3,1)
say	(3,1)
may	(3,9)(1,43)(5,1)
derive	(3,1)
native	(3,13)(5,1)
meaning	(3,3)(1,1)
either	(3,4)(4,1)(1,3)(5,1)
ends	(3,3)
earth	(3,3)
sea	(3,3)(1,1)
gulls	(3,1)
chilli	(3,3)
mean	(3,2)
quechua	(3,3)
chiri	(3,1)
cold	(3,2)
tchili	(3,1)
snow	(3,1)
deepest	(3,1)
point	(3,4)
attributed	(3,2)
onomatopoeic	(3,1)
cheele-cheele???the	(3,1)
imitation	(3,1)
warble	(3,1)
bird	(3,3)
locally	(3,1)
known	(3,10)(1,7)
trilethe	(3,1)
conquistadors	(3,2)
heard	(3,1)
few	(3,4)(1,4)(5,1)
survivors	(3,1)
almagros	(3,1)
first	(3,22)(4,18)(1,17)(5,3)
expedition	(3,1)
1535???36	(3,1)
themselves	(3,5)(4,1)(1,3)(5,1)
men	(3,4)(1,2)
ultimately	(3,1)
almagro	(3,2)
credited	(3,1)
universalization	(3,1)
naming	(3,1)
mapocho	(3,2)
such	(3,15)(4,5)(1,13)
older	(3,2)
spelling	(3,1)
use	(3,6)(1,12)
english	(3,9)(4,12)(1,6)
early	(3,7)(4,1)(1,5)(5,2)
before	(3,2)(4,1)(1,2)
switching	(3,1)
history	(3,2)(1,4)(5,1)
===	(3,66)(4,14)(1,14)
stone	(3,1)(5,1)
tool	(3,1)
evidence	(3,1)(1,2)
indicates	(3,1)
humans	(3,1)
sporadically	(3,1)
frequented	(3,1)
monte	(3,2)
verde	(3,2)
18500	(3,1)
years	(3,20)(4,1)(1,7)
ago	(3,4)
10000	(3,1)
migrating	(3,1)
indigenous	(3,13)
peoples	(3,5)
settled	(3,1)(5,1)
fertile	(3,2)
valleys	(3,5)
coastal	(3,15)
areas	(3,10)
present-day	(3,1)
settlement	(3,3)(5,2)
sites	(3,5)(5,1)
very	(3,5)(4,1)(1,2)
habitation	(3,1)
include	(3,8)(1,4)(5,2)
cueva	(3,1)
milod??n	(3,1)
pali-aike	(3,1)
craters	(3,1)
lava	(3,1)
tube	(3,1)
briefly	(3,2)
extended	(3,1)(1,2)
their	(3,13)(4,10)(1,29)(5,4)
empire	(3,2)
into	(3,26)(4,7)(1,12)(5,1)
araucanians	(3,1)
they	(3,14)(4,4)(1,11)(5,5)
were	(3,39)(4,18)(1,20)(5,10)
spaniards	(3,2)
successfully	(3,2)
resisted	(3,1)
many	(3,13)(4,1)(1,5)(5,3)
attempts	(3,3)
subjugate	(3,1)
them	(3,6)(4,3)(1,5)(5,6)
despite	(3,4)(1,1)
lack	(3,2)(1,1)
organization	(3,4)
fought	(3,1)(4,1)
against	(3,5)(1,6)(5,1)
sapa	(3,1)
tupac	(3,1)
yupanqui	(3,1)
his	(3,13)(4,1)(1,1)
army	(3,9)
result	(3,8)(4,1)(1,3)
bloody	(3,1)
three-day	(3,1)
confrontation	(3,1)
battle	(3,1)(4,4)
maule	(3,5)
territories	(3,2)
river	(3,7)(5,4)
colonization	(3,1)
1520	(3,1)
while	(3,14)(4,4)(1,10)
attempting	(3,1)
circumnavigate	(3,1)
globe	(3,1)
ferdinand	(3,2)
magellan	(3,7)
discovered	(3,2)
southern	(3,16)
him	(3,1)
strait	(3,3)
thus	(3,1)(1,1)
becoming	(3,3)(1,2)
european	(3,17)(1,8)
set	(3,2)(1,5)
foot	(3,1)
next	(3,2)(4,1)(1,4)
europeans	(3,4)(1,1)
band	(3,3)(5,1)
came	(3,5)(4,1)(1,1)
1535	(3,1)
seeking	(3,1)
gold	(3,9)(1,2)
encountered	(3,2)
cultures	(3,2)(1,1)
supported	(3,5)(4,1)(1,1)
principally	(3,1)(1,1)
through	(3,13)(4,2)(1,6)
slash-and-burn	(3,1)
agriculture	(3,10)
huntingthe	(3,1)
began	(3,10)(4,4)(5,2)
earnest	(3,1)
1540	(3,1)
carried	(3,2)
out	(3,6)(4,1)(1,9)
pedro	(3,3)
valdivia	(3,2)
one	(3,21)(4,3)(1,10)
francisco	(3,4)
pizarros	(3,1)
lieutenants	(3,1)
founded	(3,1)(1,4)
12	(3,5)(1,4)
february	(3,5)(4,4)(5,1)
1541	(3,1)
although	(3,9)(1,3)
did	(3,5)(1,2)
not	(3,13)(4,3)(1,24)(5,1)
find	(3,1)(4,1)
extensive	(3,3)(4,1)(1,1)
silver	(3,7)(1,1)
sought	(3,1)
recognized	(3,3)(5,1)
agricultural	(3,7)
potential	(3,1)
chiles	(3,26)
central	(3,18)(1,2)
became	(3,9)(1,1)(5,2)
empireconquest	(3,1)
took	(3,7)(1,3)
place	(3,5)(1,6)(5,1)
gradually	(3,2)
suffered	(3,1)(1,1)
repeated	(3,1)
setbacks	(3,1)
massive	(3,2)
insurrection	(3,1)
1553	(3,1)
resulted	(3,1)
valdivias	(3,1)
death	(3,2)
destruction	(3,1)
colonys	(3,2)
principal	(3,2)
settlements	(3,2)
subsequent	(3,1)(1,1)
major	(3,13)(1,3)
insurrections	(3,1)
1598	(3,1)
1655	(3,1)
each	(3,2)(4,1)(1,22)
other	(3,19)(4,3)(1,19)(5,1)
groups	(3,7)(1,1)
revolted	(3,1)
border	(3,5)
colony	(3,4)
driven	(3,1)
northward	(3,2)
abolition	(3,1)
slavery	(3,1)
crown	(3,1)
1683	(3,1)
done	(3,2)(1,1)
recognition	(3,2)
enslaving	(3,1)
intensified	(3,1)
rather	(3,1)
cowing	(3,1)
submission	(3,1)
royal	(3,1)(4,1)
prohibitions	(3,1)
relations	(3,2)
remained	(3,5)(4,1)(5,1)
strained	(3,1)
continual	(3,1)
colonialist	(3,1)
interference	(3,1)(1,1)
cut	(3,1)
off	(3,2)(1,1)
desert	(3,13)
mountains	(3,8)
centralized	(3,1)
homogeneous	(3,1)
colonies	(3,1)
serving	(3,2)
sort	(3,1)
frontier	(3,1)(4,8)
garrison	(3,1)
found	(3,7)
itself	(3,1)(1,2)
mission	(3,1)
forestalling	(3,1)
encroachment	(3,1)
both	(3,7)(4,5)(1,6)
spains	(3,1)
enemies	(3,1)(4,1)
especially	(3,3)(1,2)
dutch	(3,1)
buccaneers	(3,1)
pirates	(3,1)
menaced	(3,1)
addition	(3,4)(1,1)
shown	(3,1)(1,1)
sir	(3,1)
francis	(3,1)
drakes	(3,1)
1578	(3,1)
raid	(3,1)
valpara??so	(3,9)
port	(3,6)
hosted	(3,5)
standing	(3,1)
armies	(3,2)(1,1)
making	(3,3)(4,1)(1,2)
militarized	(3,1)
possessions	(3,1)
well	(3,5)(1,1)(5,1)
drain	(3,1)
treasury	(3,1)
viceroyalty	(3,1)
peruthe	(3,1)
general	(3,10)(1,1)
census	(3,11)
conducted	(3,6)(1,1)
agust??n	(3,1)
j??uregui	(3,1)
1777	(3,1)
1778	(3,1)
indicated	(3,1)
consisted	(3,2)
259646	(3,1)
inhabitants	(3,3)
735%	(3,1)
descent	(3,3)
79%	(3,1)
mestizos	(3,4)
86%	(3,1)
98%	(3,1)
blacks	(3,2)
hurtado	(3,2)
governor	(3,1)
chilo??	(3,6)
1784	(3,1)
26703	(3,1)
644%	(3,1)
whom	(3,5)(1,1)
whites	(3,1)
335%	(3,1)
natives	(3,3)
diocese	(3,1)
concepci??n	(3,4)
1812	(3,1)
estimated	(3,6)(1,3)(5,1)
210567	(3,1)
861%	(3,1)
10%	(3,3)
37%	(3,1)
mulattosa	(3,1)
2021	(3,6)(4,2)
study	(3,6)
baten	(3,1)
llorca-ja??a	(3,1)
shows	(3,3)(4,4)(1,2)
regions	(3,9)(1,2)
share	(3,1)(4,1)
migrants	(3,5)
developed	(3,2)(4,2)(1,1)
faster	(3,1)(4,1)
terms	(3,5)(1,1)
numeracy	(3,2)
even	(3,2)(4,1)(1,6)
if	(3,3)(4,1)(1,15)
overall	(3,2)
number	(3,14)(4,1)(1,13)
small	(3,9)(4,2)(5,1)
effect	(3,1)(1,1)
might	(3,3)
be	(3,13)(4,10)(1,29)(5,1)
related	(3,3)(1,1)(5,1)
externalities	(3,1)
surrounding	(3,1)
adopted	(3,3)(1,1)
similar	(3,4)(4,1)(1,1)
behavior	(3,1)
non-european	(3,1)
immigrant	(3,1)
group	(3,4)(4,1)
new	(3,10)(4,5)(1,1)
schools	(3,11)(4,1)(1,3)
created	(3,2)(4,6)
ironically	(3,1)
have	(3,23)(4,8)(1,14)(5,1)
positive	(3,2)
spillover	(3,1)
effects	(3,2)
educational	(3,2)
investment	(3,7)
made	(3,6)(4,2)(1,3)(5,2)
same	(3,5)(1,5)
reduced	(3,1)(1,1)
greater	(3,8)
inequality	(3,2)
these	(3,8)(4,3)(1,10)(5,1)
however	(3,11)(4,3)(1,4)
immigration	(3,4)
apparently	(3,2)
stronger	(3,1)(4,3)
nation	(3,4)
building	(3,1)
1808	(3,1)
napoleons	(3,1)
enthronement	(3,1)
joseph	(3,1)(5,2)
king	(3,3)
precipitated	(3,1)
drive	(3,1)
junta	(3,3)
???	(3,3)(4,2)(1,3)
heir	(3,1)
deposed	(3,1)
formed	(3,11)(1,5)
18	(3,3)(1,2)
september	(3,9)(4,4)
1810	(3,1)
proclaimed	(3,2)
autonomous	(3,2)(1,1)
within	(3,7)(4,1)(1,10)
monarchy	(3,1)
memory	(3,1)(4,1)
day	(3,6)(4,1)
celebrates	(3,1)
year	(3,5)(4,1)(1,1)
events	(3,4)(4,1)(1,2)
movement	(3,2)(1,1)
total	(3,15)(1,3)
command	(3,3)
jos??	(3,5)
miguel	(3,2)
carrera	(3,3)
renowned	(3,1)
patriots	(3,1)
two	(3,19)(4,5)(1,18)
brothers	(3,1)
luis	(3,3)
soon	(3,2)
gained	(3,1)(4,1)
wider	(3,2)(1,1)
following	(3,3)(1,6)(5,1)
re-impose	(3,1)
arbitrary	(3,1)
reconquista	(3,1)
led	(3,9)(1,4)
prolonged	(3,1)
struggle	(3,1)
including	(3,13)(4,5)(1,2)
infighting	(3,1)
bernardo	(3,2)
ohiggins	(3,4)
challenged	(3,2)
carreras	(3,1)
leadership	(3,1)
intermittent	(3,2)
warfare	(3,1)
continued	(3,2)(1,1)
1817	(3,1)
prison	(3,1)
anti-carrera	(3,1)
cohort	(3,1)
san	(3,8)
mart??n	(3,1)
hero	(3,1)
argentine	(3,1)
crossed	(3,2)(1,4)
defeated	(3,1)
royalists	(3,1)
revolt	(3,1)
brought	(3,5)(1,3)
little	(3,1)(1,1)
social	(3,6)
change	(3,4)
19th-century	(3,1)
society	(3,4)
preserved	(3,1)
essence	(3,1)
stratified	(3,1)
colonial	(3,4)
structure	(3,1)
greatly	(3,1)
influenced	(3,4)(4,2)
politics	(3,3)
roman	(3,8)(1,2)
catholic	(3,7)
strong	(3,6)(4,1)(1,1)
presidency	(3,2)
eventually	(3,1)(4,4)(1,2)
wealthy	(3,1)
landowners	(3,1)
powerful	(3,3)
once	(3,1)(1,1)
planned	(3,2)
expand	(3,3)(4,1)
liberating	(3,1)
philippines	(3,2)
incorporating	(3,1)
regard	(3,1)
he	(3,2)(1,1)
tasked	(3,1)
scottish	(3,1)(1,4)
naval	(3,2)
officer	(3,1)
thomas	(3,1)
cochrane	(3,1)
letter	(3,1)
dated	(3,1)
november	(3,9)(4,1)
1821	(3,1)
expressing	(3,1)
plan	(3,3)
guayaquil	(3,1)
galapagos	(3,1)
preparations	(3,1)
didnt	(3,1)
push	(3,1)
because	(3,6)(1,1)
o	(3,2)
higgins	(3,1)
exiledchile	(3,1)
slowly	(3,2)
started	(3,2)(1,1)
influence	(3,3)(1,1)
establish	(3,1)
tantauco	(3,1)
treaty	(3,4)(5,8)
archipelago	(3,3)
incorporated	(3,3)
1826	(3,1)
boom	(3,2)
due	(3,16)(1,3)
discovery	(3,1)
ore	(3,2)
cha??arcillo	(3,1)
growing	(3,3)(1,1)
trade	(3,9)(5,1)
conflict	(3,1)
over	(3,15)(1,8)
maritime	(3,1)
supremacy	(3,1)
strengthen	(3,1)
sovereignty	(3,3)
intensifying	(3,1)
penetration	(3,2)
araucan??a	(3,4)
colonizing	(3,1)
llanquihue	(3,2)
german	(3,6)(4,2)(1,1)
immigrants	(3,6)
1848	(3,1)(1,1)
fort	(3,1)(5,4)
bulnes	(3,1)
schooner	(3,1)
ancud	(3,1)
john	(3,1)(1,1)
williams	(3,1)
wilson	(3,1)
magallanes	(3,1)
1843	(3,1)
antofagasta	(3,5)
fill	(3,1)
toward	(3,2)
end	(3,6)(1,11)
consolidated	(3,1)
position	(3,4)(1,3)
occupation	(3,1)
boundary	(3,2)(1,1)
1881	(3,1)
confirmed	(3,2)
expanded	(3,4)(4,1)
almost	(3,2)(1,1)
one-third	(3,1)
eliminating	(3,3)
bolivias	(3,1)
access	(3,4)
acquired	(3,1)(4,3)(5,1)
valuable	(3,1)
nitrate	(3,2)
deposits	(3,2)
exploitation	(3,1)
era	(3,2)(1,1)
affluence	(3,1)
had	(3,16)(4,5)(1,6)
stand	(3,2)
countries	(3,14)(4,1)(1,11)
1870the	(3,1)
1891	(3,1)(1,1)
civil	(3,3)(1,1)
redistribution	(3,1)
power	(3,10)
president	(3,22)
congress	(3,10)
established	(3,3)(5,3)
parliamentary	(3,5)
style	(3,2)(4,1)(1,2)
democracy	(3,3)
contest	(3,2)(1,1)
those	(3,8)(1,4)
favored	(3,1)
local	(3,2)(1,1)
industries	(3,2)
banking	(3,2)
interests	(3,3)
particularly	(3,3)(1,2)
house	(3,2)
edwards	(3,1)
ties	(3,2)(4,1)
foreign	(3,12)
investors	(3,2)
engaged	(3,1)
vastly	(3,1)
expensive	(3,1)
arms	(3,2)(1,5)
race	(3,3)
nearly	(3,2)
partially	(3,1)(4,1)
degenerated	(3,1)(1,1)
system	(3,19)(4,1)(1,2)
protecting	(3,1)
ruling	(3,3)
oligarchy	(3,1)
1920s	(3,2)(1,2)
emerging	(3,1)
middle	(3,4)
working	(3,1)
classes	(3,3)
enough	(3,2)
elect	(3,1)
reformist	(3,1)
arturo	(3,2)
alessandri	(3,5)
whose	(3,3)(1,2)
program	(3,4)
frustrated	(3,1)
conservative	(3,2)
marxist	(3,1)
popular	(3,15)(4,2)(1,4)
support	(3,2)(1,2)
arosea	(3,1)
altamirano	(3,1)
1924	(3,2)
period	(3,12)(1,4)
instability	(3,1)
lasted	(3,1)(4,1)
1932	(3,2)(1,1)
ten	(3,3)(1,1)
governments	(3,2)
held	(3,8)(1,3)
longest	(3,3)
lasting	(3,1)
carlos	(3,4)
ib????ez	(3,5)
campo	(3,5)
1925	(3,1)
then	(3,8)(4,1)(1,3)(5,1)
again	(3,2)(1,1)
1927	(3,1)
1931	(3,1)
facto	(3,1)
really	(3,1)
comparable	(3,1)(1,1)
harshness	(3,1)
type	(3,1)
often	(3,4)(1,2)
bedeviled	(3,1)
rest	(3,2)(4,1)(5,1)
americaby	(3,1)
relinquishing	(3,1)
successor	(3,2)(4,1)
retained	(3,1)
respect	(3,1)
large	(3,7)(1,3)(5,1)
segment	(3,1)
remain	(3,1)
viable	(3,1)
politician	(3,1)
thirty	(3,1)
spite	(3,1)
vague	(3,1)
shifting	(3,1)
nature	(3,2)(1,2)
ideology	(3,1)
when	(3,5)(4,6)(1,19)
constitutional	(3,8)
restored	(3,1)
middle-class	(3,1)
party	(3,12)(1,1)
radicals	(3,2)
key	(3,2)
force	(3,11)
20	(3,3)
radical	(3,3)
dominance	(3,2)(1,2)
1932???52	(3,1)
increased	(3,6)(1,1)(5,1)
role	(3,3)(1,1)
1952	(3,1)(1,1)
voters	(3,3)
returned	(3,1)(4,1)
office	(3,3)
six	(3,4)(4,2)(1,2)
jorge	(3,4)
1958	(3,1)
bringing	(3,3)
conservatism	(3,2)
back	(3,2)(1,2)
term	(3,9)(1,1)
1964	(3,1)
presidential	(3,7)
election	(3,8)
christian	(3,8)
democrat	(3,4)
eduardo	(3,4)
frei	(3,10)
montalva	(3,2)
absolute	(3,5)
majority	(3,9)(4,1)(1,1)
initiated	(3,1)
reform	(3,3)
slogan	(3,1)
revolution	(3,1)(5,1)
liberty	(3,1)
administration	(3,2)(1,2)
embarked	(3,1)
far-reaching	(3,1)
programs	(3,2)
education	(3,12)
housing	(3,1)
agrarian	(3,1)
rural	(3,3)
unionization	(3,1)
workers	(3,3)
1967	(3,1)
opposition	(3,2)(1,3)
leftists	(3,1)
charged	(3,1)
reforms	(3,3)
inadequate	(3,1)
conservatives	(3,1)
excessive	(3,1)
fully	(3,2)(1,1)
achieved	(3,4)
partys	(3,1)
ambitious	(3,1)
goals	(3,1)(1,15)
1970	(3,2)
senator	(3,3)
allende	(3,10)
socialist	(3,6)
unity	(3,3)
included	(3,2)(4,2)(1,2)
communists	(3,1)
social-democrats	(3,1)
dissident	(3,1)
democrats	(3,2)
unitary	(3,1)
action	(3,3)
partial	(3,2)(1,1)
plurality	(3,1)
votes	(3,4)(1,1)
three-way	(3,1)
followed	(3,3)(4,4)(1,3)
candidates	(3,2)
radomiro	(3,1)
tomic	(3,1)
receiving	(3,1)
fewer	(3,2)(1,2)
35%	(3,3)
runoff	(3,2)
vote	(3,2)(1,1)
former	(3,4)(1,2)(5,1)
keeping	(3,1)
tradition	(3,1)
chose	(3,1)
153	(3,1)
35	(3,2)
refused	(3,1)
form	(3,5)(4,2)(1,2)
oppose	(3,1)
grounds	(3,1)(1,2)
could	(3,2)(1,1)
make	(3,2)(4,2)(1,1)
common	(3,4)(1,1)
cause	(3,1)(1,1)
right	(3,3)(1,1)
wingan	(3,1)
depression	(3,6)
1972	(3,2)
exacerbated	(3,2)(1,1)
flight	(3,1)
plummeting	(3,1)
private	(3,10)
withdrawal	(3,1)
bank	(3,5)
response	(3,2)
production	(3,3)
fell	(3,2)
unemployment	(3,4)
rose	(3,1)
measures	(3,1)
price	(3,2)
freezes	(3,1)
wage	(3,1)(1,2)
increases	(3,2)
tax	(3,1)
increase	(3,3)
consumer	(3,1)
spending	(3,2)
redistribute	(3,1)
downward	(3,1)
joint	(3,1)(4,1)
public-private	(3,1)
public	(3,12)(1,2)
works	(3,5)(4,1)
projects	(3,1)
helped	(3,4)(1,2)
reduce	(3,1)(1,1)
much	(3,4)(1,1)
sector	(3,2)
nationalized	(3,2)
enterprises	(3,1)
coal	(3,4)
iron	(3,2)
steel	(3,1)
expropriated	(3,1)
subjected	(3,1)
intervention	(3,1)
industrial	(3,1)
output	(3,1)
sharply	(3,1)
administrations	(3,1)
yearallendes	(3,1)
advancement	(3,1)
judicial	(3,3)
legality	(3,2)
nationalization	(3,2)
banks	(3,2)
forcing	(3,1)
others	(3,6)
bankruptcy	(3,1)
strengthening	(3,1)
militias	(3,1)
mir	(3,1)
platform	(3,1)
mines	(3,1)
amendment	(3,1)
measure	(3,1)(1,1)
